id,detailed_type,categ_id,default_code,name,sale_ok,purchase_ok,uom_id,uom_po_id,route_ids
setup.product_template.0170,product,Components / Labels,CLA375,Labels Chuckies Munchies Early Bird Morning Cocktail Pink Guava Colada 45 serv,0,1,Units,Units,Buy
setup.product_template.0171,product,Components / Labels,CLA376,Labels Chuckies Munchies Early Bird Morning Cocktail Pink Guava Colada,0,1,Units,Units,Buy
setup.product_template.0172,product,Components / Labels,CLA426,Labels Double Wood Tribulus Terrestis 95%,0,1,Units,Units,Buy
setup.product_template.0173,product,Components / Labels,CLA432,Labels Dr. Mitch Antioxidant Support,0,1,Units,Units,Buy
setup.product_template.0174,product,Components / Labels,CLA434,Labels Dr. Mitch Blood Sugar Support,0,1,Units,Units,Buy
setup.product_template.0175,product,Components / Labels,CLA436,Labels Dr. Mitch Cell Membrane Support,0,1,Units,Units,Buy
setup.product_template.0176,product,Components / Labels,CLA441,Labels Dr. Mitch Heart Health Support,0,1,Units,Units,Buy
setup.product_template.0177,product,Components / Labels,CLA443,Labels Dr. Mitch Immune Booster,0,1,Units,Units,Buy
setup.product_template.0178,product,Components / Labels,CLA446,Labels Dr. Mitch Methylation Support,0,1,Units,Units,Buy
setup.product_template.0179,product,Components / Labels,CLA454,Labels Dr. Mitch Super Multivitamin,0,1,Units,Units,Buy
setup.product_template.0180,product,Components / Labels,CLA455,Labels Dr. Mitch Thyroid Support,0,1,Units,Units,Buy
setup.product_template.0181,product,Components / Labels,CLA457,Labels Dr. Mitch Vitamin D Plus,0,1,Units,Units,Buy
setup.product_template.0182,product,Components / Labels,CLA534,Labels Force Factor Test X 180 Ignite 120ct,0,1,Units,Units,Buy
setup.product_template.0183,product,Components / Labels,CLA535,Labels Force Factor Test X 180 Ignite 60ct,0,1,Units,Units,Buy
setup.product_template.0184,product,Components / Labels,CLA542,Labels Functional Medicine Blood Sugar Support,0,1,Units,Units,Buy
setup.product_template.0185,product,Components / Labels,CLA546,Labels Functional Medicine Digestive and Gut Health,0,1,Units,Units,Buy
setup.product_template.0186,product,Components / Labels,CLA553,Labels Functional Medicine Max Vitality,0,1,Units,Units,Buy
setup.product_template.0187,product,Components / Labels,CLA557,Labels Functional Medicine Optimized Curcumin (Longvida),0,1,Units,Units,Buy
setup.product_template.0188,product,Components / Labels,CLA561,Labels Functional Medicine Thyroid Support,0,1,Units,Units,Buy
setup.product_template.0189,product,Components / Labels,CLA571,Labels Genius Arginine LARGLEM0321,0,1,Units,Units,Buy
